Nouakchott	Nouakchott–Oumtounsy International Airport	NKC	Mauritania	Africa
Nouadhibou	Nouadhibou International Airport	NDB	Mauritania	Africa
Niamey	Diori Hamani International Airport	NIM	Niger	Africa
Abuja	Nnamdi Azikiwe International Airport	ABV	Nigeria	Africa
Calabar	Margaret Ekpo International Airport	CBQ	Nigeria	Africa
Asaba, Delta	Asaba International Airport	ABB	Nigeria	Africa
Kano	Mallam Aminu Kano International Airport	KAN	Nigeria	Africa
Lagos	Murtala Mohammed International Airport	LOS	Nigeria	Africa
Port Harcourt	Port Harcourt International Airport	PHC	Nigeria	Africa
Enugu	Akanu Ibiam International Airport	ENU	Nigeria	Africa
Sokoto	Sadiq Abubakar III International Airport	SKO	Nigeria	Africa
Dakar	Léopold Sédar Senghor International Airport	DKR	Senegal	Africa
Freetown	Lungi International Airport	FNA	Sierra Leone	Africa
Lomé	Tokoin Airport	LFW	Togo	Africa
The Valley	Clayton J. Lloyd International Airport	AXA	Anguilla	Americas
Antigua	VC Bird International Airport	ANU	Antigua and Barbuda	Americas
Nassau	Lynden Pindling International Airport	NAS	Bahamas	Americas
Chub Cay	Chub Cay International Airport	CCZ	Bahamas	Americas
Exuma	Exuma International Airport	GGT	Bahamas	Americas
Freeport	Grand Bahama International Airport	FPO	Bahamas	Americas
South Eleuthera	Rock Sound International Airport	RSD	Bahamas	Americas
Marsh Harbour	Marsh Harbor International Airport	MHH[1]	Bahamas	Americas
Christ Church, Barbados	Grantley Adams International Airport	BGI	Barbados	Americas
Road Town	Terrance B. Lettsome International Airport	EIS	British Virgin Islands	Americas
Cayman Brac	Charles Kirkconnell International Airport	CYB	Cayman Islands	Americas
Georgetown	Owen Roberts International Airport	GCM	Cayman Islands	Americas
Camagüey	Ignacio Agramonte International Airport	CMW	Cuba	Americas
Cayo Coco	Jardines del Rey Airport	CCC	Cuba	Americas
Cayo Largo del Sur	Vilo Acuña Airport	CYO	Cuba	Americas
Cienfuegos	Jaime González Airport	CFG	Cuba	Americas
Havana	José Martí International Airport	HAV	Cuba	Americas
Holguín	Frank País Airport	HOG	Cuba	Americas
Santa Clara	Abel Santa María Airport	SNU	Cuba	Americas
Santiago de Cuba	Antonio Maceo Airport	SCU	Cuba	Americas
Varadero	Juan Gualberto Gómez Airport	VRA	Cuba	Americas
Roseau	Melville Hall Airport	DOM	Dominica	Americas
Barahona	María Montez International Airport	BRX	Dominican Republic	Americas
La Romana	La Romana International Airport	LRM	Dominican Republic	Americas
Punta Cana	Punta Cana International Airport	PUJ	Dominican Republic	Americas
Samana	Samaná El Catey International Airport	AZS	Dominican Republic	Americas
San Felipe de Puerto Plata	Gregorio Luperón International Airport	POP	Dominican Republic	Americas
Santiago de los Caballeros	Cibao International Airport	STI	Dominican Republic	Americas
Santo Domingo	Las Américas International Airport	SDQ	Dominican Republic	Americas
Grenada	Maurice Bishop International Airport	GND	Grenada	Americas
Pointe-à-Pitre	Pôle Caraïbes International Airport	PTP	Guadeloupe	Americas
Cap-Haïtien	Hugo Chávez International Airport	CAP	Haiti	Americas
Port-au-Prince	Toussaint Louverture International Airport	PAP	Haiti	Americas
Kingston	Norman Manley International Airport	KIN	Jamaica	Americas
Montego Bay	Sangster International Airport	MBJ	Jamaica	Americas
Fort-de-France	Martinique Aimé Césaire International Airport	FDF	Martinique	Americas
Brades	John A. Osborne Airport	MNI	Montserrat	Americas
Kralendijk	Flamingo International Airport	BON	Netherlands Antilles	Americas
Oranjestad, Aruba	Queen Beatrix International Airport	AUA	Netherlands Antilles	Americas
Philipsburg, Sint Maarten	Princess Juliana International Airport	SXM	Netherlands Antilles	Americas
Willemstad	Hato International Airport	CUR	Netherlands Antilles	Americas
Aguadilla	Rafael Hernández Airport	BQN	Puerto Rico	Americas
San Juan	Luis Muñoz Marín International Airport	SJU	Puerto Rico	Americas
St. Jean	Gustaf III Airport	SBH	Saint Barthélemy	Americas
Saint Kitts	Robert L. Bradshaw International Airport	SKB	Saint Kitts and Nevis	Americas
Vieux Fort Quarter	Hewanorra International Airport	UVF	Saint Lucia	Americas
Kingstown	Argyle International Airport	SVD	Saint Vincent and the Grenadines	Americas
Canouan	Canouan Airport	CIW	Saint Vincent and the Grenadines	Americas
Port of Spain	Piarco International Airport	POS	Trinidad and Tobago	Americas
Tobago	Arthur Napoleon Raymond Robinson International Airport (formerly Crown Point International Airport)	TAB	Trinidad and Tobago	Americas
Providenciales	Providenciales Airport	PLS	Turks and Caicos Islands	Americas
Saint Thomas	Cyril E. King Airport	STT	US Virgin Islands	Americas
Saint Croix	Henry E. Rohlsen Airport	STX	US Virgin Islands	Americas
Belize City	Philip S. W. Goldson International Airport	BZE	Belize	Americas
Liberia	Daniel Oduber Quirós International Airport	LIR	Costa Rica	Americas
San José de Costa Rica	Juan Santamaría International Airport	SJO	Costa Rica	Americas
San Salvador	Monseñor Óscar Arnulfo Romero International Airport	SAL	El Salvador	Americas
Flores	Mundo Maya International Airport	FRS	Guatemala	Americas
Guatemala City	La Aurora International Airport	GUA	Guatemala	Americas
La Ceiba	Golosón International Airport	LCE	Honduras	Americas
Roatán	Juan Manuel Gálvez International Airport	RTB	Honduras	Americas
San Pedro Sula	Ramón Villeda Morales International Airport	SAP	Honduras	Americas
Tegucigalpa	Toncontin International Airport	TGU	Honduras	Americas
Managua	Augusto C. Sandino International Airport	MGA	Nicaragua	Americas
Bluefields	Bluefields Airport	BEF	Nicaragua	Americas
Corn Island	Corn Island Airport	RNI	Nicaragua	Americas
Puerto Cabezas	Puerto Cabezas Airport	PUZ	Nicaragua	Americas
Bocas del Toro	Bocas del Toro "Isla Colón" International Airport	BOC	Panama	Americas
David, Chiriquí	Enrique Malek International Airport	DAV	Panama	Americas
Panama City	Tocumen International Airport	PTY	Panama	Americas
St. George's, Bermuda	L.F. Wade International Airport	BDA	Bermuda	Americas
Calgary	Calgary International Airport	YYC	Canada	Americas
Edmonton	Edmonton International Airport	YEG	Canada	Americas
Gander	Gander International Airport	YQX	Canada	Americas
Halifax	Halifax Stanfield International Airport	YHZ	Canada	Americas
Hamilton	John C. Munro Hamilton International Airport	YHM	Canada	Americas
Iqaluit	Iqaluit Airport	YFB	Canada	Americas
Kelowna	Kelowna International Airport	YLW	Canada	Americas
Moncton	Greater Moncton International Airport	YQM	Canada	Americas
Montreal	Montreal-Mirabel International Airport	YMX	Canada	Americas
Montreal	Montreal-Pierre Elliott Trudeau International Airport	YUL	Canada	Americas
Ottawa	Ottawa Macdonald-Cartier International Airport	YOW	Canada	Americas
Quebec City	Quebec/Jean Lesage International Airport	YQB	Canada	Americas
Regina	Regina International Airport	YQR	Canada	Americas
Saskatoon	Saskatoon John G. Diefenbaker International Airport	YXE	Canada	Americas
St. John's	St. John's International Airport	YYT	Canada	Americas
Thunder Bay	Thunder Bay International Airport	YQT	Canada	Americas
Toronto (Toronto island)	Billy Bishop Toronto City Airport	YTZ	Canada	Americas
Toronto (Mississauga)	Toronto Pearson International Airport	YYZ	Canada	Americas
Vancouver	Vancouver International Airport	YVR	Canada	Americas
Victoria	Victoria International Airport	YYJ	Canada	Americas
Whitehorse	Erik Nielsen Whitehorse International Airport	YXY	Canada	Americas
Winnipeg	Winnipeg James Armstrong Richardson International Airport	YWG	Canada	Americas
Kangerlussuaq	Kangerlussuaq Airport	SFJ	Greenland	Americas
Nuuk	Nuuk Airport	GOH	Greenland	Americas
Ilulissat	Ilulissat Airport	JAV	Greenland	Americas
Narsarsuaq	Narsarsuaq Airport	UAK	Greenland	Americas
Acapulco	General Juan N. Alvarez International Airport	ACA	Mexico	Americas
Aguascalientes	Lic. Jesús Terán Peredo International Airport	AGU	Mexico	Americas
Cancún	Cancun International Airport	CUN	Mexico	Americas
Chihuahua	Roberto Fierro Villalobos International Airport	CUU	Mexico	Americas
Ciudad del Carmen	Ciudad del Carmen International Airport	CME	Mexico	Americas
Cozumel	Cozumel International Airport	CZM	Mexico	Americas
Culiacán	Federal de Bachigualato International Airport	CUL	Mexico	Americas
Durango	General Guadalupe Victoria International Airport	DGO	Mexico	Americas
Guadalajara	Don Miguel Hidalgo y Costilla International Airport	GDL	Mexico	Americas
Hermosillo	Hermosillo International Airport	HMO	Mexico	Americas
Huatulco	Bahías de Huatulco International Airport	HUX	Mexico	Americas
Ixtapa	Ixtapa-Zihuatanejo International Airport	ZIH	Mexico	Americas
León	Del Bajío International Airport	BJX	Mexico	Americas
Loreto	Loreto International Airport	LTO	Mexico	Americas
Los Cabos	Los Cabos International Airport	SJD	Mexico	Americas
Manzanillo	Playa de Oro International Airport	ZLO	Mexico	Americas
Mazatlán	General Rafael Buelna International Airport	MZT	Mexico	Americas
Mérida	Manuel Crescencio Rejón International Airport	MID	Mexico	Americas
Mexico City	Mexico City International Airport	MEX	Mexico	Americas
Monterrey	General Mariano Escobedo International Airport	MTY	Mexico	Americas
Morelia	General Francisco J. Mujica International Airport	MLM	Mexico	Americas
Oaxaca	Xoxocotlán International Airport	OAX	Mexico	Americas
Puebla	Hermanos Serdán International Airport	PBC	Mexico	Americas
Puerto Vallarta	Lic. Gustavo Díaz Ordaz International Airport	PVR	Mexico	Americas
Querétaro	Querétaro Intercontinental Airport	QRO	Mexico	Americas
Saltillo	Plan de Guadalupe International Airport	SLW	Mexico	Americas
San Luis Potosí	Ponciano Arriaga International Airport	SLP	Mexico	Americas
Tampico	General Francisco Javier Mina International Airport	TAM	Mexico	Americas
Tijuana	Gral. Abelardo L. Rodríguez International Airport	TIJ	Mexico	Americas
Toluca	Lic. Adolfo López Mateos International Airport	TLC	Mexico	Americas
Torreón	Francisco Sarabia International Airport	TRC	Mexico	Americas
Tuxtla Gutierrez	Angel Albino Corzo International Airport	TGZ	Mexico	Americas
Uruapan	Uruapan International Airport	UPN	Mexico	Americas
Veracruz	General Heriberto Jara International Airport	VER	Mexico	Americas
Villahermosa	Carlos Rovirosa Pérez International Airport	VSA	Mexico	Americas
Zacatecas	General Leobardo C. Ruiz International Airport	ZCL	Mexico	Americas
Akron	Akron–Canton Airport	CAK	United States	Americas
Akron	Akron Fulton International Airport	AKC	United States	Americas
Albany	Albany International Airport	ALB	United States	Americas
Albuquerque	Albuquerque International Sunport	ABQ	United States	Americas
Anchorage	Ted Stevens Anchorage International Airport	ANC	United States	Americas
Appleton	Appleton International Airport	ATW	United States	Americas
Atlanta	Hartsfield-Jackson Atlanta International Airport	ATL	United States	Americas
Atlantic City	Atlantic City International Airport	ACY	United States	Americas
Austin	Austin-Bergstrom International Airport	AUS	United States	Americas
Baltimore	Baltimore-Washington International Thurgood Marshall Airport	BWI	United States	Americas
Bangor	Bangor International Airport	BGR	United States	Americas
Birmingham	Birmingham-Shuttlesworth International Airport	BHM	United States	Americas
Boston	Logan International Airport	BOS	United States	Americas
Buffalo	Buffalo Niagara International Airport	BUF	United States	Americas
Charlotte	Charlotte/Douglas International Airport	CLT	United States	Americas
Charleston (SC)	Charleston International Airport	CHS	United States	Americas
Chicago	Chicago Midway International Airport	MDW	United States	Americas
Chicago	Chicago Rockford International Airport	RFD	United States	Americas
Chicago	O'Hare International Airport	ORD	United States	Americas
Cincinnati	Cincinnati/Northern Kentucky International Airport	CVG	United States	Americas
Cleveland	Cleveland Hopkins International Airport	CLE	United States	Americas
Columbus (OH)	Port Columbus International Airport	CMH	United States	Americas
Columbus (OH)	Rickenbacker International Airport	LCK	United States	Americas
Dallas	Dallas/Fort Worth International Airport	DFW	United States	Americas
Dayton (OH)	Dayton International Airport	DAY	United States	Americas
Denver	Denver International Airport	DEN	United States	Americas
Des Moines (IA)	Des Moines International Airport	DSM	United States	Americas
Detroit	Detroit Metropolitan Wayne County Airport	DTW	United States	Americas
Fairbanks	Fairbanks International Airport	FAI	United States	Americas
Fort Lauderdale	Fort Lauderdale-Hollywood International Airport	FLL	United States	Americas
Fort Myers	Southwest Florida International Airport	RSW	United States	Americas
Fresno	Fresno Yosemite International Airport	FAT	United States	Americas
Hartford	Bradley International Airport	BDL	United States	Americas
Hilo	Hilo International Airport	ITO	United States	Americas
Honolulu	Honolulu International Airport	HNL	United States	Americas
Houston	George Bush Intercontinental Airport	IAH	United States	Americas
Houston	William P. Hobby Airport	HOU	United States	Americas
Huntsville (AL)	Huntsville International Airport	HSV	United States	Americas
Indianapolis	Indianapolis International Airport	IND	United States	Americas
Jacksonville	Jacksonville International Airport	JAX	United States	Americas
Juneau	Juneau International Airport	JNU	United States	Americas
Kansas City	Kansas City International Airport	MCI	United States	Americas
Ketchikan	Ketchikan International Airport	KTN	United States	Americas
Key West	Key West International Airport	EYW	United States	Americas
Kona	Kona International Airport	KOA	United States	Americas
Lansing	Capital Region International Airport	LAN	United States	Americas
Las Vegas	McCarran International Airport	LAS	United States	Americas
Los Angeles	Los Angeles International Airport	LAX	United States	Americas
Louisville	Louisville International Airport	SDF	United States	Americas
Melbourne (FL)	Melbourne International Airport	MLB	United States	Americas
Memphis	Memphis International Airport	MEM	United States	Americas
Miami	Miami International Airport	MIA	United States	Americas
Milwaukee	General Mitchell International Airport	MKE	United States	Americas
Minneapolis/St. Paul	Minneapolis-Saint Paul International Airport	MSP	United States	Americas
Myrtle Beach	Myrtle Beach International Airport	MYR	United States	Americas
Nashville	Nashville International Airport	BNA	United States	Americas
New Orleans	Louis Armstrong New Orleans International Airport	MSY	United States	Americas
New York City	John F. Kennedy International Airport	JFK	United States	Americas
New York City	LaGuardia Airport	LGA	United States	Americas
Newark	Newark Liberty International Airport	EWR	United States	Americas
Newburgh	Stewart International Airport	SWF	United States	Americas
Oakland	Metropolitan Oakland International Airport	OAK	United States	Americas
Omaha	Eppley Airfield	OMA	United States	Americas
Ontario	Ontario International Airport	ONT	United States	Americas
Orange County	John Wayne Airport	SNA	United States	Americas
Orlando	Orlando International Airport	MCO	United States	Americas
Orlando/Sanford	Orlando Sanford International Airport	SFB	United States	Americas
Palm Springs	Palm Springs International Airport	PSP	United States	Americas
Panama City Beach	Northwest Florida Beaches International Airport	ECP	United States	Americas
Philadelphia	Philadelphia International Airport	PHL	United States	Americas
Phoenix	Phoenix Sky Harbor International Airport	PHX	United States	Americas
Pittsburgh	Pittsburgh International Airport	PIT	United States	Americas
Portland (ME)	Portland International Jetport	PWM	United States	Americas
Portland (OR)	Portland International Airport	PDX	United States	Americas
Providence	T.F. Green Airport	PVD	United States	Americas
Raleigh/Durham	Raleigh-Durham International Airport	RDU	United States	Americas
Reno	Reno-Tahoe International Airport	RNO	United States	Americas
Rochester (NY)	Greater Rochester International Airport	ROC	United States	Americas
Sacramento	Sacramento International Airport	SMF	United States	Americas
Salt Lake City	Salt Lake City International Airport	SLC	United States	Americas
San Antonio	San Antonio International Airport	SAT	United States	Americas
San Bernardino	San Bernardino International Airport	SBD	United States	Americas
San Diego	San Diego International Airport	SAN	United States	Americas
San Francisco	San Francisco International Airport	SFO	United States	Americas
San Jose (CA)	San Jose International Airport	SJC	United States	Americas
San Juan	Luis Munoz Marin International Airport	SJU	United States	Americas
Sarasota/Bradenton	Sarasota-Bradenton International Airport	SRQ	United States	Americas
Seattle	Kenmore Air Harbor Seaplane Base	LKE	United States	Americas
Seattle	King County International Airport	BFI	United States	Americas
Seattle	Seattle-Tacoma International Airport	SEA	United States	Americas
Snohomish County (WA)	Paine Field	PAE	United States	Americas
Spokane	Spokane International Airport	GEG	United States	Americas
St. Louis	Lambert-Saint Louis International Airport	STL	United States	Americas
St. Petersburg (FL)	St. Petersburg-Clearwater International Airport	PIE	United States	Americas
Syracuse	Syracuse Hancock International Airport	SYR	United States	Americas
Tallahassee	Tallahassee International Airport	TLH	United States	Americas
Tampa	Tampa International Airport	TPA	United States	Americas
Washington, D.C.	Ronald Reagan Washington National Airport**	DCA	United States	Americas
Washington D.C.	Washington Dulles International Airport	IAD	United States	Americas
West Palm Beach	Palm Beach International Airport	PBI	United States	Americas
Buenos Aires	Ministro Pistarini International Airport	EZE	Argentina	Americas
Buenos Aires	Aeroparque Jorge Newbery	AEP	Argentina	Americas
Córdoba	Ingeniero Ambrosio L.V. Taravella International Airport	COR	Argentina	Americas
Mendoza	Governor Francisco Gabrielli International Airport	MDZ	Argentina	Americas
Puerto Iguazú	Cataratas del Iguazú International Airport	IGR	Argentina	Americas
Resistencia	Resistencia International Airport	RES	Argentina	Americas
Río Gallegos	Piloto Civil N. Fernández International Airport	RGL	Argentina	Americas
San Carlos de Bariloche	Teniente Luis Candelaria International Airport	BRC	Argentina	Americas
Ushuaia	Ushuaia International Airport	USH	Argentina	Americas
La Paz	El Alto International Airport	LPB	Bolivia	Americas
Santa Cruz de la Sierra	Viru Viru International Airport	VVI	Bolivia	Americas
Aracaju	Santa Maria Airport	AJU	Brazil	Americas
Belém	Val de Cães International Airport	BEL	Brazil	Americas
Belo Horizonte	Tancredo Neves International Airport	CNF	Brazil	Americas
Campinas	Viracopos International Airport	VCP	Brazil	Americas
Campo Grande	Campo Grande International Airport	CGR	Brazil	Americas
Cuiabá	Marechal Rondon International Airport	CGB	Brazil	Americas
Curitiba	Afonso Pena International Airport	CWB	Brazil	Americas
Florianópolis	Hercílio Luz International Airport	FLN	Brazil	Americas
Fortaleza	Pinto Martins International Airport	FOR	Brazil	Americas
Goiânia	Santa Genoveva Airport	GYN	Brazil	Americas
João Pessoa	Presidente Castro Pinto International Airport	JPA	Brazil	Americas
Maceió	Zumbi dos Palmares International Airport	MCZ	Brazil	Americas
Manaus	Eduardo Gomes International Airport	MAO	Brazil	Americas
Petrolina	Senador Nilo Coelho Airport	PNZ	Brazil	Americas
Porto Alegre	Salgado Filho International Airport	POA	Brazil	Americas
Porto Velho	Governador Jorge Teixeira de Oliveira International Airport	PVH	Brazil	Americas
Recife	Guararapes International Airport	REC	Brazil	Americas
Rio de Janeiro	Rio de Janeiro-Galeão International Airport	GIG	Brazil	Americas
Salvador	Deputado Luís Eduardo Magalhães International Airport	SSA	Brazil	Americas
São Luís	Marechal Cunha Machado International Airport	SLZ	Brazil	Americas
São Paulo	São Paulo-Guarulhos International Airport	GRU	Brazil	Americas
São Paulo	Congonhas Airport	CGH	Brazil	Americas
Vitória	Eurico de Aguiar Salles Airport	VIX	Brazil	Americas
Antofagasta	Cerro Moreno International Airport	ANF	Chile	Americas
Easter Island	Mataveri International Airport	IPC	Chile	Americas
Concepción	Carriel Sur International Airport	CCP	Chile	Americas
Puerto Montt	El Tepual International Airport	PMC	Chile	Americas
Punta Arenas	Presidente Carlos Ibáñez del Campo International Airport	PUQ	Chile	Americas
Santiago de Chile	Comodoro Arturo Merino Benítez International Airport	SCL	Chile	Americas
Armenia	El Edén International Airport	AXM	Colombia	Americas
Barranquilla	Ernesto Cortissoz International Airport	BAQ	Colombia	Americas
